Группа мышц,Название,Целевые мышцы,Тип,Оборудование,Направление,Функциональность,Описание
Ноги,Подъём на носки стоя,Икроножные,Изолирующее,Тренажёр,Legs,Силовое,"Встаньте носками на платформу, плечи под упорами. Поднимитесь на носки, опуститесь растягивая икры."
Ноги,Подъём на носки сидя,Камбаловидная,Изолирующее,Тренажёр,Legs,Силовое,"Сядьте, колени под валиком. Поднимитесь на носки, задержитесь, опуститесь до растяжения."
Ягодицы,Ягодичный мост со штангой,Большая ягодичная,Базовое,Штанга,Legs,Силовое,"Лягте на спину, штанга на бёдрах. Поднимите таз максимально вверх, сжимая ягодицы."
Ягодицы,Румынская тяга,"Бицепс бедра, ягодицы",Базовое,Штанга,Pull,Силовое,"Держите штангу перед собой. Наклонитесь, отводя таз назад, до растяжения бицепса бедра."
Ягодицы,Румынская тяга с гантелями,"Бицепс бедра, ягодицы",Базовое,Гантели,Pull,Силовое,"Гантели перед бёдрами. Наклонитесь с прямой спиной, скользя гантелями вдоль ног."
Ягодицы,Тяга сумо,"Ягодицы, приводящие, квадрицепс",Базовое,Штанга,Pull,Силовое,"Широкая стойка, носки наружу, хват узкий. Поднимите штангу, выпрямляя ноги и корпус."
Ягодицы,Зашагивания на платформу,"Ягодицы, квадрицепс",Базовое,Гантели,Legs,Функциональное,"Шагните на платформу, полностью выпрямив ногу. Опуститесь контролируемо, повторите."
Ягодицы,Ягодичный мост,Большая ягодичная,Изолирующее,Своё тело,Legs,Функциональное,"Лягте на спину, ноги согнуты. Поднимите таз, сжимая ягодицы, опуститесь плавно."
Ягодицы,Отведение ноги назад в блоке,Большая ягодичная,Изолирующее,Блок,Legs,Силовое,"Закрепите манжету на лодыжке. Отведите прямую ногу назад, сжимая ягодицу."
Ягодицы,Отведение ноги в тренажёре,Средняя ягодичная,Изолирующее,Тренажёр,Legs,Силовое,"Встаньте в тренажёр, упор на бедро. Отведите ногу в сторону против сопротивления."
Ягодицы,Махи ногой назад,Большая ягодичная,Изолирующее,Своё тело,Legs,Функциональное,"Встаньте на четвереньки. Поднимите согнутую ногу вверх, сжимая ягодицу, опустите."
Руки,Сгибание рук со штангой,Бицепс,Изолирующее,Штанга,Pull,Силовое,"Встаньте со штангой, локти прижаты к корпусу. Согните руки до полного сокращения бицепса."
Руки,Сгибание рук с гантелями,Бицепс,Изолирующее,Гантели,Pull,Силовое,"Поочерёдно или одновременно сгибайте руки, супинируя кисть в верхней точке."
Руки,Молотковые сгибания,"Бицепс, брахиалис",Изолирующее,Гантели,Pull,Силовое,"Держите гантели нейтральным хватом. Сгибайте руки, сохраняя положение кистей."
Руки,Сгибания на скамье Скотта,Бицепс (длинная головка),Изолирующее,Штанга,Pull,Силовое,"Упритесь руками в скамью Скотта. Согните руки со штангой, опустите до полного растяжения."
Руки,Сгибание рук на блоке,Бицепс,Изолирующее,Блок,Pull,Силовое,"Возьмите рукоять нижнего блока. Согните руки, удерживая локти неподвижно."
Руки,Концентрированные сгибания,Бицепс (пик),Изолирующее,Гантели,Pull,Силовое,"Сядьте, локоть упирается во внутреннюю часть бедра. Согните руку, максимально сокращая бицепс."
Руки,Разгибание рук на блоке,Трицепс,Изолирующее,Блок,Push,Силовое,"Возьмите рукоять верхнего блока. Разогните руки вниз, прижимая локти к корпусу."
Руки,Французский жим лёжа,Трицепс,Изолирующее,Штанга,Push,Силовое,"Лёжа на скамье, опустите штангу ко лбу, сгибая локти. Разогните руки вверх."
Руки,Французский жим сидя,Трицепс (длинная головка),Изолирующее,Гантели,Push,Силовое,"Сидя, поднимите гантель над головой. Опустите за голову, сгибая локти, разогните."
Руки,Отжимания на трицепс,Трицепс,Изолирующее,Своё тело,Push,Функциональное,"Руки на скамье позади себя, ноги вытянуты. Опуститесь, сгибая локти, отожмитесь."
Руки,Разгибание руки в наклоне,Трицепс,Изолирующее,Гантели,Push,Силовое,"Наклонитесь, локоть прижат к корпусу. Разогните руку назад до полного выпрямления."
Руки,Сгибание запястий,Сгибатели предплечья,Изолирующее,Гантели,Pull,Силовое,"Предплечья на коленях, кисти свисают. Согните запястья, поднимая гантели вверх."
Руки,Разгибание запястий,Разгибатели предплечья,Изолирующее,Гантели,Push,Силовое,"Предплечья на коленях ладонями вниз. Разогните запястья, поднимая гантели."
Кор,Скручивания,Прямая мышца живота,Изолирующее,Своё тело,Core,Функциональное,"Лягте на спину, ноги согнуты. Поднимите плечи, скручивая корпус, напрягая пресс."
Кор,Скручивания на блоке,Прямая мышца живота,Изолирующее,Блок,Core,Силовое,"Встаньте на колени у блока, рукоять за головой. Скрутите корпус вниз, напрягая пресс."
Кор,Подъём ног в висе,"Нижний пресс, подвздошно-поясничная",Изолирующее,Своё тело,Core,Функциональное,"Повисните на перекладине. Поднимите прямые или согнутые ноги до параллели с полом."
Кор,Подъём ног лёжа,Нижний пресс,Изолирующее,Своё тело,Core,Функциональное,"Лягте на спину, руки вдоль тела. Поднимите прямые ноги до вертикали, опустите не касаясь пола."
Кор,Планка,"Кор, стабилизаторы",Изолирующее,Своё тело,Core,Функциональное,"Примите упор на предплечьях и носках. Держите тело прямым, напрягая кор."
Кор,Боковая планка,"Косые мышцы, стабилизаторы",Изолирующее,Своё тело,Core,Функциональное,"Лягте на бок, упор на предплечье. Поднимите бёдра, удерживая тело прямым."
Кор,Русские скручивания,Косые мышцы,Изолирующее,Своё тело,Core,Функциональное,"Сядьте, ноги приподняты, корпус отклонён. Поворачивайте корпус, касаясь руками пола по сторонам."
Кор,Дровосек на блоке,"Косые мышцы, кор",Изолирующее,Блок,Core,Функциональное,"Встаньте боком к блоку. Тяните рукоять по диагонали через тело, поворачивая корпус."
Кор,Ролик для пресса,"Прямая мышца живота, кор",Изолирующее,Ролик,Core,Функциональное,"Встаньте на колени, руки на ролике. Катите вперёд, растягивая корпус, вернитесь обратно."
Кор,Скалолаз,"Кор, подвздошно-поясничная",Изолирующее,Своё тело,Core,Кардио,"Примите упор лёжа. Поочерёдно подтягивайте колени к груди в быстром темпе."
